SOLICITUDORIGINAL;N_ORDEN_DISTRIBU;FECHA_CREACION_ORDEN;PONUMB;EX14ERROR;DESPA;TIPO_ESTADO;TIPO_RELACION;RELNUM;INUMBR;RELBL5; 
114475017;121135073;2017-10-11 10:00:10.000000;596718;[11-10-2017 10:39] La OC se cargo correctamente                                                     ;CD ;0;2;;;;
114475419;121135452;2017-10-11 11:00:11.000000;596746;[11-10-2017 11:41] La OC se cargo correctamente                                                     ;CD ;0;2;;;;
114474665;121134885;2017-10-11 09:00:13.000000;596702;[11-10-2017 09:36] La OC se cargo correctamente                                                     ;CD ;0;2;;;;
114474735;121134884;2017-10-11 09:00:13.000000;596701;[11-10-2017 09:36] La OC se cargo correctamente                                                     ;CD ;0;2;;;;
114474713;121134883;2017-10-11 09:00:13.000000;596700;[11-10-2017 09:36] La OC se cargo correctamente                                                     ;CD ;0;2;;;;
114474968;121135071;2017-10-11 10:00:10.000000;596716;[11-10-2017 10:39] La OC se cargo correctamente                                                     ;CD ;0;2;;;;
114457954;121135059;2017-10-11 09:55:59.000000;596712;[11-10-2017 10:39] La OC se cargo correctamente                                                     ;CD ;0;2;;;;
114474791;121135076;2017-10-11 10:00:10.000000;596721;[11-10-2017 10:39] La OC se cargo correctamente                                                     ;CD ;0;2;;;;
114473747;121135069;2017-10-11 10:00:10.000000;596714;[11-10-2017 10:39] La OC se cargo correctamente                                                     ;CD ;0;2;;;;
20171010003214148904;121135072;2017-10-11 10:00:10.000000;596717;[11-10-2017 10:39] La OC se cargo correctamente                                                     ;CD ;0;2;;;;
114475180;121135065;2017-10-11 09:57:46.000000;596713;[11-10-2017 10:39] La OC se cargo correctamente                                                     ;CD ;0;2;;;;
114475308;121135140;2017-10-11 10:15:29.000000;596737;[11-10-2017 11:41] La OC se cargo correctamente                                                     ;CD ;0;2;;;;
114474773;121135075;2017-10-11 10:00:10.000000;596720;[11-10-2017 10:39] La OC se cargo correctamente                                                     ;CD ;0;2;;;;
114473615;121134773;2017-10-11 08:00:12.000000;596683;[11-10-2017 08:36] La OC se cargo correctamente                                                     ;CD ;0;2;;;;
114475148;121135070;2017-10-11 10:00:10.000000;596715;[11-10-2017 10:39] La OC se cargo correctamente                                                     ;CD ;0;2;;;;
114473761;121134784;2017-10-11 08:00:12.000000;596694;[11-10-2017 08:37] La OC se cargo correctamente                                                     ;CD ;0;2;;;;
114475256;121135445;2017-10-11 11:00:11.000000;596739;[11-10-2017 11:41] La OC se cargo correctamente                                                     ;CD ;0;2;;;;
114474763;121135074;2017-10-11 10:00:10.000000;596719;[11-10-2017 10:39] La OC se cargo correctamente                                                     ;CD ;0;2;;;;
114475842;121135453;2017-10-11 11:00:11.000000;596747;[11-10-2017 11:41] La OC se cargo correctamente                                                     ;CD ;0;2;;;;
114475684;121135448;2017-10-11 11:00:11.000000;596742;[11-10-2017 11:41] La OC se cargo correctamente                                                     ;CD ;0;2;;;;
114473894;121134766;2017-10-11 08:00:11.000000;596676;[11-10-2017 08:36] La OC se cargo correctamente                                                     ;CD ;0;2;;;;
114473742;121134774;2017-10-11 08:00:12.000000;596684;[11-10-2017 08:36] La OC se cargo correctamente                                                     ;CD ;0;2;;;;
114473632;121134779;2017-10-11 08:00:12.000000;596689;[11-10-2017 08:36] La OC se cargo correctamente                                                     ;CD ;0;2;;;;
114473672;121134769;2017-10-11 08:00:12.000000;596679;[11-10-2017 08:36] La OC se cargo correctamente                                                     ;CD ;0;2;;;;
114473938;121134775;2017-10-11 08:00:12.000000;596685;[11-10-2017 10:09] La OC se cargo correctamente                                                     ;CD ;0;2;;;;
114473582;121134786;2017-10-11 08:00:12.000000;596696;[11-10-2017 08:37] La OC se cargo correctamente                                                     ;CD ;0;2;;;;
114475255;121135444;2017-10-11 11:00:11.000000;596738;[11-10-2017 11:41] La OC se cargo correctamente                                                     ;CD ;0;2;;;;
114474760;121144454;2017-10-11 12:00:18.000000;596872;[11-10-2017 12:41] La OC se cargo correctamente                                                     ;PD ;0;2;;;;
114473476;121144444;2017-10-11 12:00:18.000000;596862;[11-10-2017 12:40] La OC se cargo correctamente                                                     ;PD ;0;2;;;;
114483794;121143020;2017-10-11 11:30:47.000000;596823;[11-10-2017 12:10] La OC se cargo correctamente                                                     ;CD ;0;2;;;;
114484187;121144450;2017-10-11 12:00:18.000000;596868;[11-10-2017 12:40] La OC se cargo correctamente                                                     ;CD ;0;2;;;;
114475346;121135451;2017-10-11 11:00:11.000000;596745;[11-10-2017 11:41] La OC se cargo correctamente                                                     ;CD ;0;2;;;;
114473860;121135447;2017-10-11 11:00:11.000000;596741;[11-10-2017 11:41] La OC se cargo correctamente                                                     ;CD ;0;2;;;;
114473668;121134772;2017-10-11 08:00:12.000000;596682;[11-10-2017 08:36] La OC se cargo correctamente                                                     ;CD ;0;2;;;;
114473889;121134785;2017-10-11 08:00:12.000000;596695;[11-10-2017 08:37] La OC se cargo correctamente                                                     ;CD ;0;2;;;;
114473707;121134780;2017-10-11 08:00:12.000000;596690;[11-10-2017 08:36] La OC se cargo correctamente                                                     ;CD ;0;2;;;;
114475302;121135449;2017-10-11 11:00:11.000000;596743;[11-10-2017 11:41] La OC se cargo correctamente                                                     ;CD ;0;2;;;;
114473801;121134777;2017-10-11 08:00:12.000000;596687;[11-10-2017 08:36] La OC se cargo correctamente                                                     ;CD ;0;2;;;;
114473577;121134767;2017-10-11 08:00:12.000000;596677;[11-10-2017 08:36] La OC se cargo correctamente                                                     ;CD ;0;2;;;;
114473768;121134783;2017-10-11 08:00:12.000000;596693;[11-10-2017 08:37] La OC se cargo correctamente                                                     ;CD ;0;2;;;;
114475658;121135446;2017-10-11 11:00:11.000000;596740;[11-10-2017 11:41] La OC se cargo correctamente                                                     ;CD ;0;2;;;;
114483626;121144449;2017-10-11 12:00:18.000000;596867;[11-10-2017 12:40] La OC se cargo correctamente                                                     ;PD ;0;2;;;;
20171011003214170198;121144451;2017-10-11 12:00:18.000000;596869;[11-10-2017 12:40] La OC se cargo correctamente                                                     ;CD ;0;2;;;;
114473813;121134770;2017-10-11 08:00:12.000000;596680;[11-10-2017 08:36] La OC se cargo correctamente                                                     ;CD ;0;2;;;;
20171010003214168004;121134781;2017-10-11 08:00:12.000000;596691;[11-10-2017 08:36] La OC se cargo correctamente                                                     ;CD ;0;2;;;;
114475424;121135401;2017-10-11 10:33:50.000000;596727;[11-10-2017 11:04] La OC se cargo correctamente                                                     ;CD ;0;2;;;;
114483447;121144443;2017-10-11 12:00:18.000000;596861;[11-10-2017 12:40] La OC se cargo correctamente                                                     ;CD ;0;2;;;;
114485689;121144458;2017-10-11 12:00:18.000000;596876;[11-10-2017 12:41] La OC se cargo correctamente                                                     ;CD ;0;2;;;;
114473835;121134782;2017-10-11 08:00:12.000000;596692;[11-10-2017 08:36] La OC se cargo correctamente                                                     ;CD ;0;2;;;;
